[05:49:17:483]  PCM Hammer 021
[06:06:16:729]  Processing message
[06:06:16:735]  Sending 'test device present' notification.
[06:06:16:736]  Setting timeout for Minimum, 0 ms.
[06:06:16:736]  TX: STPTO 0
[06:06:16:797]  OK
[06:06:16:798]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:16:811]  Empty response to STPX with data. OK.
[06:06:16:812]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:06:16:812]  TX: STPTO 250
[06:06:16:821]  OK
[06:06:16:822]  Reading from 519168 / 0x7EC00, length 1024 / 0x400
[06:06:16:823]  TX: STPX H:6D10F0, R:1, D:3501040007EC00
[06:06:17:971]  RX: 6D F0 10 36 01 04 00 07 EC 00 D1 68 00 02 D1 38 00 05 A9 66 00 05 A9 76 00 05 A9 4E 00 05 A9 56 00 05 A9 76 00 05 A9 56 00 05 A9 76 00 05 A9 5E 00 05 A9 66 00 05 CE 66 00 05 CE B2 00 05 CE 6E 00 05 CE 70 00 05 CE B2 00 05 CE 54 00 05 CE B2 00 05 CE B2 00 05 CE A6 00 05 E9 86 00 05 E9 86 00 05 E9 88 00 05 E9 88 00 05 EA 02 00 05 E9 88 00 05 EA 02 00 05 EA 04 00 05 EA 04 00 07 08 E8 00 07 08 E8 00 07 08 48 00 07 08 EA 00 07 09 1C 00 07 08 E8 00 07 08 E8 00 07 08 E0 00 07 08 E8 00 07 29 38 00 07 28 CC 00 07 27 AA 00 07 28 6C 00 07 29 0C 00 07 28 B6 00 07 28 68 00 07 28 68 00 07 28 CC 00 03 16 1A 00 03 16 0C 00 03 15 C0 00 03 15 EC 00 03 16 0C 00 03 16 1C 00 03 16 1A 00 03 16 1C 00 03 16 0C 00 04 6A B6 00 04 69 38 00 04 68 74 00 04 69 38 00 04 69 E4 00 04 69 38 00 04 6A B6 00 04 69 38 00 04 69 38 00 07 C5 7C 00 07 C5 36 00 07 C5 38 00 07 C5 38 00 07 C5 36 00 07 C5 7C 00 07 C5 34 00 07 C5 36 00 07 C5 7C 00 02 73 AC 00 02 73 B6 00 02 73 C0 00 02 73 CA 00 02 73 D4 00 02 73 D6 00 02 73 E0 00 02 73 EA 00 02 73 F4 00 03 0C D6 00 03 0C D6 00 03 0C DA 00 03 0D 2A 00 03 0D 2C 00 03 0D 30 00 03 0D 6E 00 03 0D 70 00 03 0D D6 00 03 74 E2 00 03 75 4C 00 03 75 50 00 03 75 AC 00 03 76 96 00 03 75 AC 00 03 76 9C 00 03 76 9C 00 03 76 F4 00 03 17 36 00 03 17 3A 00 03 17 46 00 03 17 4E 00 03 17 C6 00 03 17 C8 00 03 17 CA 00 03 17 CA 00 03 17 CC 00 07 9A 06 00 07 9A 3C 00 07 98 E0 00 07 99 56 00 07 9A 3C 00 07 99 D0 00 07 9A 06 00 07 99 D0 00 07 9A 3C 00 06 B9 70 00 06 B9 70 00 06 B9 72 00 06 B9 82 00 06 B9 8A 00 06 B9 8C 00 06 B9 8C 00 06 B9 8E 00 06 B9 92 02 04 08 10 20 40 00 00 80 01 02 04 08 10 01 80 40 00 06 07 08 09 02 03 01 00 82 83 84 85 47 8C 8D 8E 00 24 00 26 00 3E 01 30 01 32 01 34 01 40 01 42 01 44 01 50 01 58 01 5A 01 5C 55 55 55 55 55 55 55 55 00 03 69 E4 00 03 69 EC 00 03 69 FA 00 03 6A 02 00 03 6A 0A 00 03 6A 0C 00 03 6A 14 00 03 6A 1C 00 01 8A 36 00 01 8A 38 00 01 8A F6 00 01 8A F8 00 01 8A 3A 00 01 8A 3A 00 01 8A 3A 00 01 8A 3A 00 06 0A EA 00 06 0A EC 00 06 09 34 00 06 09 A2 00 06 0A EC 00 06 09 E8 00 06 0A EC 00 06 0A C0 00 06 2D 02 00 06 2C 04 00 06 2C 04 00 06 2D 02 00 06 2C 04 00 06 2D 10 00 06 2D 10 00 06 2D 02 00 07 07 1C 00 07 06 B8 00 07 07 0A 00 07 07 1C 00 07 07 0A 00 07 07 2A 00 07 07 02 00 07 07 1C 00 02 8C 3C 00 02 8C 62 00 02 8C 64 00 02 8C 6C 00 02 8C 74 00 02 8C 74 00 02 8C 76 00 02 8C 7E 00 02 AE 54 00 02 AD 92 00 02 AE A8 00 02 AE A8 00 02 AE A8 00 02 AE 4A 00 02 AE 5C 00 02 AE 54 00 04 9D FC 00 04 9D FC 00 04 9D FC 00 04 9D A2 00 04 9D FE 00 04 9D A2 00 04 9C 7A 00 04 9D 58 00 07 5F 50 00 07 5C CC 00 07 5C CC 00 07 5F 50 00 07 5D FE 00 07 5F 48 00 07 5F 68 00 07 5F 50 00 02 E1 1A 00 02 E0 F6 00 02 E1 28 00 02 E1 34 00 02 E1 14 00 02 E1 1E 00 02 E1 34 00 02 E1 1A 06 02 02 00 DF 7F 7F 3F 05 02 4E 00 00 00 DE 5E DD 5D DB 5B 97 77 06 02 02 00 9F 3F 00 00 00 06 80 3A 00 06 82 1A 00 06 80 3E 00 06 80 E4 00 06 80 74 00 06 81 B6 00 06 81 4C 57 30 31 20 20 20 20 20 20 20 1D 00 00 0A 59 9C 00 0A 59 0A 00 0A 50 8E 00 0A 52 C2 00 05 68 C8 00 05 68 EC 00 05 68 DC 00 05 68 D4 00 05 68 E4 00 05 68 E4 00 05 68 C0 00 06 5E 12 00 06 5E 44 00 06 5E 4C EA AC
[06:06:17:979]  Processing message
[06:06:17:985]  Sending 'test device present' notification.
[06:06:17:987]  Setting timeout for Minimum, 0 ms.
[06:06:17:987]  TX: STPTO 0
[06:06:18:042]  OK
[06:06:18:043]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:18:056]  Empty response to STPX with data. OK.
[06:06:18:058]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:06:18:058]  TX: STPTO 250
[06:06:18:067]  OK
[06:06:18:068]  Reading from 520192 / 0x7F000, length 1024 / 0x400
[06:06:18:069]  TX: STPX H:6D10F0, R:1, D:3501040007F000
[06:06:19:175]  RX: 6D F0 10 36 01 04 00 07 F0 00 00 06 5E 46 00 06 5E 4C 00 06 5E 4C 00 06 5E 46 00 05 3E 18 00 05 3F C8 00 05 3F C8 00 05 3E BA 00 05 3F 3C 00 05 3F 66 00 03 C5 B2 00 03 C5 B6 00 03 C5 BA 00 03 C5 EC 00 03 C5 F0 00 03 C6 40 00 01 A0 32 00 01 A0 32 00 01 A0 44 00 01 A0 56 00 01 02 01 00 00 10 20 01 02 06 03 00 07 04 07 07 07 07 00 07 05 03 07 07 06 01 07 04 07 07 02 00 04 70 34 00 04 70 36 00 04 70 42 00 04 70 56 00 04 70 4E 00 06 0B BC 00 06 0C 0A 00 06 0C C0 00 06 0E 9A 00 06 0E B4 00 05 AC FC 00 05 AD 22 00 05 AD 4A 00 05 AD 54 00 05 AD 62 00 07 58 8E 00 07 58 A4 00 07 58 DC 00 07 58 DE 00 07 58 F4 00 80 00 00 00 00 FF FF 00 00 00 FF 00 FF 00 48 00 FF 00 FF 00 01 99 C8 00 01 99 CC 00 01 99 D0 00 01 99 D4 00 0F 70 FF 31 32 32 32 35 30 37 34 00 00 00 00 00 00 00 00 04 A7 00 20 30 0E 04 80 80 A0 30 0E 09 01 00 FF 01 02 04 08 10 20 40 80 01 02 04 08 10 FF 00 01 AF BE 00 01 AF C0 00 01 AF C2 FF FF FF FE FF F8 A5 A0 00 58 3E 00 30 00 03 20 AD 91 1A CF BC D1 00 01 01 08 28 FF 00 00 02 02 00 60 3F FF 29 F5 00 28 03 E8 04 00 00 01 FF 00 FF F6 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FE 75
[06:06:19:180]  Processing message
[06:06:19:190]  Sending 'test device present' notification.
[06:06:19:190]  Setting timeout for Minimum, 0 ms.
[06:06:19:191]  TX: STPTO 0
[06:06:19:273]  OK
[06:06:19:275]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:19:304]  Empty response to STPX with data. OK.
[06:06:19:306]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:06:19:308]  TX: STPTO 250
[06:06:19:317]  OK
[06:06:19:319]  Reading from 521216 / 0x7F400, length 1024 / 0x400
[06:06:19:320]  TX: STPX H:6D10F0, R:1, D:3501040007F400
[06:06:20:438]  RX: 6D F0 10 36 01 04 00 07 F4 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FD 00
[06:06:20:446]  Processing message
[06:06:20:451]  Sending 'test device present' notification.
[06:06:20:451]  Setting timeout for Minimum, 0 ms.
[06:06:20:452]  TX: STPTO 0
[06:06:20:480]  OK
[06:06:20:481]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:20:530]  Empty response to STPX with data. OK.
[06:06:20:531]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:06:20:532]  TX: STPTO 250
[06:06:20:539]  OK
[06:06:20:540]  Reading from 522240 / 0x7F800, length 1024 / 0x400
[06:06:20:541]  TX: STPX H:6D10F0, R:1, D:3501040007F800
[06:06:21:612]  RX: 6D F0 10 36 01 04 00 07 F8 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FD 04
[06:06:21:613]  Processing message
[06:06:21:624]  Sending 'test device present' notification.
[06:06:21:626]  Setting timeout for Minimum, 0 ms.
[06:06:21:626]  TX: STPTO 0
[06:06:21:633]  OK
[06:06:21:634]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:21:647]  Empty response to STPX with data. OK.
[06:06:21:648]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:06:21:649]  TX: STPTO 250
[06:06:21:656]  OK
[06:06:21:657]  Reading from 523264 / 0x7FC00, length 1024 / 0x400
[06:06:21:657]  TX: STPX H:6D10F0, R:1, D:3501040007FC00
[06:06:22:761]  RX: 6D F0 10 36 01 04 00 07 FC 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 4A FC FC 50
[06:06:22:763]  Processing message
[06:06:22:774]  Read complete.
[06:06:22:778]  All read-request messages succeeded on the first try. You have an excellent connection to the PCM.
[06:06:22:784]  We're not sure how much retrying is normal for a read operation on a 512kb PCM.
[06:06:22:789]  Please help by sharing your results in the PCM Hammer thread at pcmhacking.net.
[06:06:22:794]  Starting verification...
[06:06:22:816]  Calculating CRCs from file.
[06:06:22:828]  Initializing CRC algorithm on PCM, this will take a minute...
[06:06:22:833]  Sending 'test device present' notification.
[06:06:22:834]  Setting timeout for Minimum, 0 ms.
[06:06:22:834]  TX: STPTO 0
[06:06:22:888]  OK
[06:06:22:888]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:22:942]  Empty response to STPX with data. OK.
[06:06:22:943]  Setting timeout for ReadMemoryBlock, 250 ms.
[06:06:22:945]  TX: STPTO 250
[06:06:22:954]  OK
[06:06:22:957]  TX: STPX H:6C10F0, R:1, D:3D02000000000000
[06:06:23:064]  RX: 6C F0 10 7D 02 00 00 00 00 00 00 00 00 00 00
[06:06:23:066]  Requesting CRCs from PCM.
[06:06:23:074]  Setting timeout for ReadCrc, 100 ms.
[06:06:23:075]  TX: STPTO 100
[06:06:23:109]  OK
[06:06:23:110]  	Range		File CRC		PCM CRC	Verdict	Purpose
[06:06:23:120]  Sending 'test device present' notification.
[06:06:23:121]  Setting timeout for Minimum, 0 ms.
[06:06:23:121]  TX: STPTO 0
[06:06:23:128]  OK
[06:06:23:129]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:23:132]  Empty response to STPX with data. OK.
[06:06:23:143]  Setting timeout for ReadCrc, 100 ms.
[06:06:23:144]  TX: STPTO 100
[06:06:23:152]  OK
[06:06:23:157]  Sending 'test device present' notification.
[06:06:23:160]  Setting timeout for Minimum, 0 ms.
[06:06:23:161]  TX: STPTO 0
[06:06:23:170]  OK
[06:06:23:171]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:23:183]  Empty response to STPX with data. OK.
[06:06:23:183]  Setting timeout for ReadCrc, 100 ms.
[06:06:23:184]  TX: STPTO 100
[06:06:23:193]  OK
[06:06:23:194]  TX: STPX H:6C10F0, R:1, D:3D02020000060000
[06:06:23:245]  RX: 6C F0 10 7D FF 01
[06:06:23:307]  Sending 'test device present' notification.
[06:06:23:308]  Setting timeout for Minimum, 0 ms.
[06:06:23:309]  TX: STPTO 0
[06:06:23:340]  OK
[06:06:23:342]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:23:356]  Empty response to STPX with data. OK.
[06:06:23:358]  Setting timeout for ReadCrc, 100 ms.
[06:06:23:359]  TX: STPTO 100
[06:06:23:368]  OK
[06:06:23:370]  TX: STPX H:6C10F0, R:1, D:3D02020000060000
[06:06:23:480]  RX: 6C F0 10 7D FF 02
[06:06:23:549]  Sending 'test device present' notification.
[06:06:23:551]  Setting timeout for Minimum, 0 ms.
[06:06:23:553]  TX: STPTO 0
[06:06:23:585]  OK
[06:06:23:587]  TX: STPX H:8CFEF0, R:0, D:3F
[06:06:23:600]  Empty response to STPX with data. OK.
[06:06:23:601]  Setting timeout for ReadCrc, 100 ms.
[06:06:23:602]  TX: STPTO 100
[06:06:23:610]  OK
[06:06:23:612]  TX: STPX H:6C10F0, R:1, D:3D02020000060000
[06:06:23:715]  RX: 6C F0 10 7D FF 02
